GROUP_PATH;GROUP1;GROUP2;GROUP3;ACTION;N_PRODUCTS_THIS_IMPORT;N_PRODUCTS_TOTAL_NOW
Rechizite de birou > Banda adeziva si pelicula stretch;Rechizite de birou;Banda adeziva si pelicula stretch;;EXISTING;50;54
Rechizite de birou > Capsatoare;Rechizite de birou;Capsatoare;;EXISTING;72;140
Rechizite de birou > Cheisuri si Breloace p/u chei;Rechizite de birou;Cheisuri si Breloace p/u chei;;EXISTING;6;7
Rechizite de birou > Cleiuri, lipiciuri;Rechizite de birou;Cleiuri, lipiciuri;;EXISTING;47;47
Rechizite de birou > Corectoare;Rechizite de birou;Corectoare;;EXISTING;30;55
Rechizite de birou > Creioane simple si mecanice > Accesorii desen;Rechizite de birou;Creioane simple si mecanice;Accesorii desen;EXISTING;3;78
Rechizite de birou > Creioane simple si mecanice > Creioane mecanice si rezerve;Rechizite de birou;Creioane simple si mecanice;Creioane mecanice si rezerve;EXISTING;29;78
Rechizite de birou > Creioane simple si mecanice > Creioane pentru desen liniar;Rechizite de birou;Creioane simple si mecanice;Creioane pentru desen liniar;EXISTING;13;78
Rechizite de birou > Creioane simple si mecanice > Creioane simple;Rechizite de birou;Creioane simple si mecanice;Creioane simple;EXISTING;32;78
Rechizite de birou > Cutite si lame;Rechizite de birou;Cutite si lame;;EXISTING;18;19
Rechizite de birou > Drapele, lenti, suporturi;Rechizite de birou;Drapele, lenti, suporturi;;EXISTING;21;21
Rechizite de birou > Ecusoane, sireturi, clipse;Rechizite de birou;Ecusoane, sireturi, clipse;;EXISTING;58;68
Rechizite de birou > Elastice pentru bani;Rechizite de birou;Elastice pentru bani;;EXISTING;13;13
Rechizite de birou > Foarfece;Rechizite de birou;Foarfece;;EXISTING;27;162
Rechizite de birou > Lupe;Rechizite de birou;Lupe;;EXISTING;4;11
Rechizite de birou > Markere si linere > Linere grafice;Rechizite de birou;Markere si linere;Linere grafice;EXISTING;69;331
Rechizite de birou > Markere si linere > Markere cu creta lichida;Rechizite de birou;Markere si linere;Markere cu creta lichida;EXISTING;3;331
Rechizite de birou > Markere si linere > Markere Flipchart pentru hirtie;Rechizite de birou;Markere si linere;Markere Flipchart pentru hirtie;EXISTING;4;331
Rechizite de birou > Markere si linere > Markere grafice;Rechizite de birou;Markere si linere;Markere grafice;EXISTING;29;331
Rechizite de birou > Markere si linere > Markere pentru cauciuc;Rechizite de birou;Markere si linere;Markere pentru cauciuc;EXISTING;2;331
Rechizite de birou > Markere si linere > Markere pentru CD;Rechizite de birou;Markere si linere;Markere pentru CD;EXISTING;14;331
Rechizite de birou > Markere si linere > Markere pentru textil;Rechizite de birou;Markere si linere;Markere pentru textil;EXISTING;19;331
Rechizite de birou > Markere si linere > Markere permanente;Rechizite de birou;Markere si linere;Markere permanente;EXISTING;53;331
Rechizite de birou > Markere si linere > Markere vopsea;Rechizite de birou;Markere si linere;Markere vopsea;EXISTING;18;331
Rechizite de birou > Markere si linere > Markere Whiteboard pentru tabla;Rechizite de birou;Markere si linere;Markere Whiteboard pentru tabla;EXISTING;38;331
Rechizite de birou > Markere si linere > Textmarkere;Rechizite de birou;Markere si linere;Textmarkere;EXISTING;70;331
